stationID,nameTH,nameEN,district,areaTH,areaEN,stationType,lat,long,forecast,LastUpdate,date,time,PM25.value,PM25.unit,PM10.value,PM10.unit,O3.value,O3.unit,CO.value,CO.unit,NO2.value,NO2.unit,SO2.value,SO2.unit,AQI.Level,AQI.aqi
bkp62t,วงเวียนโอเดียน,Odeon Circus,Samphanthawong,"ริมถนนตรีมิตร วงเวียนโอเดียน์ เขตสัมพันธวงศ์, กรุงเทพฯ","TheeMitr Roadside, Samphanthawong, Bangkok",BKK,13.737136,100.512734,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '9', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '9'}}",2021-08-26,14:00,9,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,9
bkp63t,แฟลตทหารบก สามเสน,Army Apartment Sam Sen,Phaya Thai,"ริมถนนพระราม 6 เขตพญาไท, กรุงเทพฯ","RamaVI Roadside, Phaya Thai, Bangkok",BKK,13.783554,100.5344645,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '11', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '11'}}",2021-08-26,14:00,11,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,11
bkp64t,สำนักงานเขตวังทองหลาง,"Wang Thonglang District Office, Bangkok",Wang Thonglang,"ริมถนนลาดพร้าว ซอยลาดพร้าว 95 เขตวังทองหลาง, กรุงเทพฯ","Lat Phrao Rd Soi 95, Wang Thonglang, Bangkok",BKK,13.778981,100.622294,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '16', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '16'}}",2021-08-26,14:00,16,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,16
bkp65t,สามย่านมิตรทาวน์,Samyan Mitrtown,Pathum Wan,"ริมถนนพระรามที่ 4 หน้าสามย่านมิตรทาวน์ เขตปทุมวัน, กรุงเทพฯ","RamaIV Roadside, Pathum Wan, Bangkok",BKK,13.733136,100.52829,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '6', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '6'}}",2021-08-26,14:00,6,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,6
bkp66t,ลานบางรักเลิฟลี่ พลาซ่า,Bangrak Lovely Plaza,Bang Rak,"ริมถนนนราธิวาส เขตบางรัก, กรุงเทพฯ","Narathiwat Roadside, Bang Rak, Bangkok",BKK,13.726136,100.528055,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '13', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '13'}}",2021-08-26,14:00,13,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,13
bkp67t,สำนักงานเขตสาทร,"Sathon District Office, Bangkok",Sathon,"แขวงทุ่งวัดดอน เขตสาทร, กรุงเทพฯ","Thung Wat Don, Sathon, Bangkok",BKK,13.707763,100.526787,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '9', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '9'}}",2021-08-26,14:00,9,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,9
bkp68t,สี่แยกถนนตก,Thanon Tok Intersection,"Bang Kho Laem,","ริมถนนพระราม 3-เจริญกรุง เขตบางคอแหลม, กรุงเทพฯ","RamaIII Roadside (Chareon Krung), Bang Kho Laem, Bangkok",BKK,13.697252,100.497185,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '6', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '6'}}",2021-08-26,14:00,6,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,6
bkp69t,ธนาคารกรุงศรีอยุธยา สำนักงานใหญ่,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",Yan Nawa,"ริมถนนพระราม 3 เขตยานนาวา, กรุงเทพฯ","RamaIII Roadside, Yan Nawa, Bangkok",BKK,13.679226,100.54687,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '10', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '10'}}",2021-08-26,14:00,10,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,10
bkp70t,ริมถนนซอยสุขุมวิท 63,"Soi Sukhumwit 63 Roadside Wattana, Bangkok",Wattana,"ริมถนนซอยสุขุมวิท 63 เขตวัฒนา, กรุงเทพฯ","Soi Sukhumwit 63 Roadside, Wattana, Bangkok",BKK,13.722096,100.584559,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '9', 'unit': 'µg/m³'}, 'PM10': {'value': '26', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '13'}}",2021-08-26,14:00,9,µg/m³,26,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,13
bkp71t,สำนักงานเขตสวนหลวง,"Suan Luang District Office, Bangkok",Suan Luang,"ริมถนนพัฒนาการ เขตสวนหลวง, กรุงเทพฯ","Suan Luang, Bangkok",BKK,13.731051,100.651705,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '7', 'unit': 'µg/m³'}, 'PM10': {'value': '26', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '13'}}",2021-08-26,14:00,7,µg/m³,26,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,13
bkp72t,บิ๊กซี ซุปเปอร์เซ็นเตอร์ บางนา,Big C Supercenter Bang Na,Bang Na,"ริมถนนบางนา-ตราด เขตบางนา, กรุงเทพฯ","Bang Na-Trat Roadside, Bang na, Bangkok",BKK,13.667987,100.635313,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '16', 'unit': 'µg/m³'}, 'PM10': {'value': '35', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '18'}}",2021-08-26,14:00,16,µg/m³,35,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,18
bkp73t,มหาวิทยาลัยเกษตรศาสตร์,Kasertsart University,Chatuchak,"ริมถนนพหลโยธิน แยก ม.เกษตรศาสตร์ เขตจตุจักร, กรุงเทพฯ","Kasertsart Intersection, Chatuchak, Bangkok",BKK,13.839923,100.575632,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '10', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '10'}}",2021-08-26,14:00,10,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,10
bkp74t,สำนักงานเขตดอนเมือง,"Don Mueng District Office, Bangkok",Don Mueng,"เขตดอนเมือง, กรุงเทพฯ","Don Mueng, Bangkok",BKK,13.910986,100.594877,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '12', 'unit': 'µg/m³'}, 'PM10': {'value': '21', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '12'}}",2021-08-26,14:00,12,µg/m³,21,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,12
bkp75t,สำนักงานเขตสายไหม,"Sai Mai District Office, Bangkok",Sai Mai,"ริมถนนสุขาภิบาล5 เขตสายไหม, กรุงเทพฯ","Sukhaphiban 5 Roadside, Sai Mai, Bangkok",BKK,13.896035,100.660628,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '13', 'unit': 'µg/m³'}, 'PM10': {'value': '37', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '19'}}",2021-08-26,14:00,13,µg/m³,37,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,19
bkp76t,สำนักงานเขตบางกะปิ,"Bang Kapi District Office, Bangkok",Bang Kapi,"ริมถนนนวมินทร์ แยกบางกะปิ เขตบางกะปิ, กรุงเทพฯ","Navamin Roadside, Bang Kapi, Bangkok",BKK,13.766478,100.647785,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '21', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '21'}}",2021-08-26,14:00,21,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,21
bkp77t,แยกสวนสยาม-รามอินทรา,Suan Sayam-Ram Intra Intersection,Khan Na Yao,"แยกสวนสยาม-รามอินทรา เขตคันนายาว, กรุงเทพฯ","Suan Sayam-Ram Intra Intersection Khan Na Yao, Bangkok",BKK,13.799395,100.682464,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '9', 'unit': 'µg/m³'}, 'PM10': {'value': '25', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '13'}}",2021-08-26,14:00,9,µg/m³,25,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,13
bkp78t,โรงพยาบาลลาดกระบัง,Lat Krabang Hospital,Lat Krabang,"ริมถนนลาดกระบัง เขตลาดกระบัง, กรุงเทพฯ","Lat Krabang Roadside, Lat Krabang, Bangkok",BKK,13.72205,100.784069,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '11', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '11'}}",2021-08-26,14:00,11,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,11
bkp79t,สวนเฉลิมพระเกียรติ ร.9,"Chaloem Phrakiat Rama 9 Park Min buri, Bangkok",Meenburi,"ริมถนนสีหบุรานุกิจ เขตมีนบุรี, กรุงเทพฯ","Sihaburanukit Roadside, Meenburi, Bangkok",BKK,13.813578,100.73208,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '8', 'unit': 'µg/m³'}, 'PM10': {'value': '28', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '14'}}",2021-08-26,14:00,8,µg/m³,28,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,14
bkp80t,สำนักงานเขตหนองจอก,"Nong Chok District Office, Bangkok",Nong Chok,"ริมถนนเลียบวารี เขตหนองจอก, กรุงเทพฯ","Liap Wari Roadsire, Nong Chok, Bangkok",BKK,13.855362,100.86267,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '13', 'unit': 'µg/m³'}, 'PM10': {'value': '27', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '14'}}",2021-08-26,14:00,13,µg/m³,27,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,14
bkp81t,ซีคอน สแควร์,Seacon Square,Prawet,"ริมถนนศรีนครินทร์ เขตประเวศ, กรุงเทพฯ","Srinakarin Roadside, Prawet, Bangkok",BKK,13.695561,100.647615,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '15', 'unit': 'µg/m³'}, 'PM10': {'value': '38', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '19'}}",2021-08-26,14:00,15,µg/m³,38,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,19
bkp82t,แยกมไหศวรรย์,Mahaisawan Intersection,Thon Buri,"ริมถนนรัชดาภิเษก-ท่าพระ เขตธนบุรี, กรุงเทพฯ","Ratchadaphisek Roadside, Thon Buri, Bangkok",BKK,13.70515,100.48465,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '10', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '10'}}",2021-08-26,14:00,10,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,10
bkp83t,ห้องสมุดใต้สะพานสมเด็จพระเจ้าตากสิน,Library under King Taksin Bridge,Klong San,"ริมถนนเจริญนคร เขตคลองสาน, กรุงเทพฯ","Charoen Nakorn Roadside, Klong San, Bangkok",BKK,13.719705,100.508782,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '15', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '15'}}",2021-08-26,14:00,15,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,15
bkp84t,สี่แยกท่าพระ,Tha phra Intersection,Bangkok Yai,"ริมถนนแยกท่าพระ เขตบางกอกใหญ่, กรุงเทพฯ","Tha phra Intersection, Bangkok Yai, Bangkok",BKK,13.729431,100.474373,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '21', 'unit': 'µg/m³'}, 'PM10': {'value': '25', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '21'}}",2021-08-26,14:00,21,µg/m³,25,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,21
bkp85t,สถานีตำรวจรถไฟบางกอกน้อย,Bangkok Noi Train Police Station,Bangkok Noi ,"ริมถนนซอยนิคมบ้านพักรถไฟธนบุรี 5 เขตบางกอกน้อย, กรุงเทพฯ","Soi Nikhom Banphak Rodfai Thonburi5, Bangkok Noi, Bangkok",BKK,13.759619,100.481137,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '11', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '11'}}",2021-08-26,14:00,11,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,11
